County,Office,Dist,First Name,Last Name,Party,URL
Allegany,Board of Education,At-Large,John Q,Test,,
Allegany,Board of Education,At-Large,John Q,Test,,
Allegany,Board of Education,At-Large,John Q,Test,,
Calvert,Board of Education,1,John Q,Test,,
Calvert,Board of Education,2,John Q,Test,,
Calvert,Board of Education,3,John Q,Test,,
Caroline,Board of Education,1,John Q,Test,,
Caroline,Board of Education,2,John Q,Test,,
Carroll,Board of Education,At-Large,John Q,Test,,
Carroll,Board of Education,At-Large,John Q,Test,,
Cecil ,County Executive,,John Q,Test,,
Cecil,County Council,1,John Q,Test,,
Cecil ,County Council,5,John Q,Test,,
Cecil,Board of Education,1,John Q,Test,,
Cecil,Board of Education,2,John Q,Test,,
Dorchester,Board of Education,1,John Q,Test,,
Dorchester,Board of Education,3,John Q,Test,,
Dorchester,Board of Education,5,John Q,Test,,
Frederick,Board of Education,At-Large,John Q,Test,,
Frederick,Board of Education,At-Large,John Q,Test,,
Frederick,Board of Education,At-Large,John Q,Test,,
Garrett,Board of Education,At-Large,John Q,Test,,
Garrett,Board of Education,At-Large,John Q,Test,,
Howard ,Board of Education,At-Large,Mavis,Ellis,Non-partisan,
Howard ,Board of Education,At-Large,Christina,Delmont-Small,Non-partisan,
Howard ,Board of Education,At-Large,John Q,Test,,
Kent,Board of Education,At-Large,John Q,Test,,
Kent,Board of Education,At-Large,John Q,Test,,
Montgomery ,Board of Education,At-Large,John Q,Test,,
Montgomery ,Board of Education,2,John Q,Test,,
Montgomery ,Board of Education,4,John Q,Test,,
Prince George's,Board of Education,1,John Q,Test,,
Prince George's,Board of Education,4,John Q,Test,,
Prince George's,Board of Education,5,John Q,Test,,
Prince George's,Board of Education,7,John Q,Test,,
Prince George's,Board of Education,8,John Q,Test,,
Queen Anne's,Board of Education,3,John Q,Test,,
Queen Anne's,Board of Education,4,John Q,Test,,
St. Mary's,Board of Education,At-Large,John Q,Test,,
St. Mary's,Board of Education,2,John Q,Test,,
St. Mary's,Board of Education,4,John Q,Test,,
Somerset,Board of Education,2,John Q,Test,,
Somerset,Board of Education,4,John Q,Test,,
Talbot,Board of Education,2,John Q,Test,,
Talbot,Board of Education,4,John Q,Test,,
Talbot,Board of Education,5,John Q,Test,,
Talbot,Board of Education,6,John Q,Test,,
Washington ,Board of Education,At-Large,John Q,Test,,
Washington ,Board of Education,At-Large,John Q,Test,,
Washington ,Board of Education,At-Large,John Q,Test,,
Washington ,Board of Education,At-Large,John Q,Test,,
Worcester,Board of Education,2,John Q,Test,,
Worcester,Board of Education,3,John Q,Test,,
Worcester,Board of Education,5,John Q,Test,,
